job_title,company_name,location,time_posted,num_applicants,salary,seniority,employment_type,job_function,industry
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University School of Medicine,"Stanford, CA",1 week ago,57 applicants,"$82,468.00/yr - $106,256.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education
"Quantitative Marketing Analyst, Google, Search Marketing",Google,"Mountain View, CA",1 week ago,,"$87,000.00/yr - $128,000.00/yr",Not Applicable,Full-time,"General Business, Strategy/Planning, and Consulting","Information Services and Technology, Information and Internet"
Research Analyst II,"JobTrain, Inc.","Menlo Park, CA",1 month ago,,"$76,901.86/yr - $82,400.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Internet Publishing
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,"Stanford, CA",1 week ago,85 applicants,"$82,468.00/yr - $106,256.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education
"Quantitative User Experience Researcher, Early Career 2024",Google,"Sunnyvale, CA",3 days ago,,,Entry level,Full-time,"Art/Creative, Design, and Engineering","Information Services and Technology, Information and Internet"
"Quantitative UX Researcher, YouTube Ads",Google,"Mountain View, CA",4 days ago,34 applicants,"$122,000.00/yr - $178,000.00/yr",Not Applicable,Full-time,"Art/Creative, Design, and Engineering","Information Services and Technology, Information and Internet"
Junior Quantitative Trader,Radley James,San Francisco Bay Area,6 days ago,,,Entry level,Full-time,Finance and Engineering,"Capital Markets, Financial Services, and Software Development"
Business Analyst,"Stellar Consulting Solutions, LLC","San Jose, CA",1 week ago,,$70.00/hr - $75.00/hr,Mid-Senior level,Contract,"Analyst, Finance, and Business Development",IT Services and IT Consulting and Data Infrastructure and Analytics
Research Data Analyst 1,Stanford University School of Medicine,"Stanford, CA",4 months ago,,"$64,480.00/yr - $97,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education
"Research Data Analyst (Hybrid Opportunity, 2 Year Fixed Term)",Stanford University,"Stanford, CA",1 week ago,85 applicants,"$110,000.00/yr - $135,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Financial Quantitative Analyst,Augment Jobs,"Los Angeles, CA",3 months ago,57 applicants,"$60,000.00/yr - $80,000.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",Financial Services
Financial Quantitative Analyst,Augment Jobs,"Los Angeles, CA",3 months ago,38 applicants,"$60,000.00/yr - $80,000.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",Financial Services
Research Analyst,Cypris,"Los Angeles, CA",2 weeks ago,48 applicants,"$70,000.00/yr - $113,000.00/yr",Mid-Senior level,Full-time,Research,Non-profit Organizations and Primary and Secondary Education
Research Analyst,UCLA Health,"Los Angeles, CA",5 days ago,,"$102,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Hospitals and Health Care
Research Analyst,"University of California, San Francisco",San Francisco Bay Area,3 weeks ago,53 applicants,"$61,200.00/yr - $77,700.00/yr",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Higher Education
Research Analyst,Centro Cultural Mexicano,"Redmond, WA",3 days ago,56 applicants,,Mid-Senior level,Contract,"Research, Analyst, and Information Technology",Non-profit Organizations
Mixed Method Researcher (Quantitative focus) - Remote,Designit,"Seattle, WA",3 months ago,,$55.00/hr - $60.00/hr,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet"
"Business Analyst, Data Center Planning Delivery (AMER)",Amazon Web Services (AWS),"Seattle, WA",1 week ago,43 applicants,"$66,900.00/yr - $143,100.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",IT Services and IT Consulting
Research Analyst,Cypris,"New York, NY",2 weeks ago,,"$70,000.00/yr - $113,000.00/yr",Mid-Senior level,Full-time,Research,Non-profit Organizations and Primary and Secondary Education
Quantitative Researcher - Hedge Fund,Upward Trend,"New York, United States",3 weeks ago,,,Associate,Full-time,Finance,Investment Management and Capital Markets
Research Analyst,Cypris,United States,6 days ago,,"$70,000.00/yr - $113,000.00/yr",Mid-Senior level,Full-time,Research,Non-profit Organizations and Primary and Secondary Education
Quantitative Researcher - Full-Time Campus Hire,Two Sigma,"New York, United States",1 week ago,,"$200,000.00/yr - $220,000.00/yr",Not Applicable,Full-time,Finance and Sales,Financial Services
"Research Analyst, Wharton Real Estate Center",University of Pennsylvania,"Philadelphia, PA",2 months ago,57 applicants,,Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education
Quantitative Sports Researcher – Graduate Hire,Susquehanna International Group,Greater Philadelphia,2 weeks ago,,,Mid-Senior level,Full-time,Finance and Sales,Financial Services
Quantitative Trading Analyst,AlphaGrep,"Chicago, IL",2 months ago,,"$60,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,Finance and Sales,Financial Services
Quantitative Researcher - Futures,Sartre Group,"Chicago, IL",3 days ago,140 applicants,"$70,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,Research and Finance,Capital Markets and Financial Services
Junior Quantitative Trader,Selby Jennings,"Chicago, IL",1 week ago,155 applicants,"$100,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Finance,Professional Services and Financial Services
Research Analyst,Dorsey Asset Management,"Chicago, IL",4 months ago,,"$90,000.00/yr - $130,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services
RESEARCH ANALYST II,Duke University,"Durham, NC",1 week ago,,"$70,000.00/yr - $120,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education
"Research Analyst II, Center for Advanced Hindsight",Duke University,"Durham, NC",1 month ago,,"$70,000.00/yr - $80,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Higher Education
SENIOR RESEARCH ADMINISTRATION BUSINESS PROCESS ANALYST,Duke University,"Durham, NC",6 months ago,26 applicants,"$70,000.00/yr - $90,000.00/yr",Mid-Senior level,Full-time,Management and Manufacturing,Higher Education
"Research Admin Business Process Analyst, Sr",Duke University,"Durham, NC",4 months ago,29 applicants,"$60,000.00/yr - $80,000.00/yr",Mid-Senior level,Full-time,Management and Manufacturing,Higher Education
Research Analyst,Augment Jobs,"Austin, TX",3 months ago,,"$70,000.00/yr - $90,600.00/yr",Associate,Full-time,"Research, Analyst, and Information Technology",Venture Capital and Private Equity Principals
Market Research Analyst,Augment Jobs,"Austin, TX",3 weeks ago,,"$60,000.00/yr - $75,000.00/yr",Associate,Full-time,Marketing and Sales,"Manufacturing, Financial Services, and Business Consulting and Services"
Quantitative Associate,"Loomis, Sayles & Company","Boston, MA",,106 applicants,"$120,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology",Financial Services
Quantitative Analyst (Staff / Sr Staff) - Power Markets,Equilibrium Energy,"Boston, MA",1 year ago,,"$130,000.00/yr - $160,000.00/yr",Mid-Senior level,Full-time,"Research, Analyst, and Information Technology","Technology, Information and Internet"
Research Analyst,ICE,"Boston, MA",1 week ago,145 applicants,"$125,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,"Research, Analyst, and Information Technology",Financial Services
Data Analytics Engineer,Meta,"Sunnyvale, CA",2 weeks ago,,"$124,000.00/yr - $176,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
Senior Data Engineer,Walmart Global Tech,"Sunnyvale, CA",2 weeks ago,,"$117,000.00/yr - $234,000.00/yr",Mid-Senior level,Full-time,Information Technology and Engineering,Software Development
Data Analytics Engineer,Natron Energy,"Santa Clara, CA",3 months ago,,"$106,500.00/yr - $155,500.00/yr",Entry level,Full-time,Information Technology,Manufacturing
Data Engineer,Hayden AI,"San Francisco, CA",3 weeks ago,157 applicants,"$144,000.00/yr - $171,000.00/yr",Entry level,Full-time,Information Technology,Software Development
"Data Engineer, Product",Notion,"San Francisco, CA",3 days ago,139 applicants,"$170,000.00/yr - $235,000.00/yr",Not Applicable,Full-time,Engineering and Information Technology,Software Development
Staff Data Engineer - Data Science,LinkedIn,"Sunnyvale, CA",4 days ago,,"$147,000.00/yr - $240,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting"
"Data Engineer, Analytics",Meta,"Menlo Park, CA",2 days ago,,"$46,000.63/yr - $134,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
Analytics Engineer (L4) - Finance,Netflix,"Los Gatos, CA",2 weeks ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers
Data Engineer,Brex,"San Francisco, CA",4 days ago,,"$120,800.00/yr - $151,000.00/yr",Entry level,Full-time,Information Technology,Financial Services
Data Engineer (L5) - Games,Netflix,"Los Gatos, CA",1 week ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers
Data Engineer II,WinMax,"Cupertino, CA",6 days ago,,$55.00/hr - $64.00/hr,Entry level,Contract,Information Technology,Staffing and Recruiting
Data/BI Engineer,Xenon arc,"Bellevue, WA",1 week ago,,"$85,000.00/yr - $100,000.00/yr",Associate,Full-time,Information Technology and Research,Chemical Manufacturing
Data Engineer,Amazon,"Seattle, WA",2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development
Data Engineer,Wipro,"Redmond, WA",1 week ago,,"$85,000.00/yr - $100,000.00/yr",Mid-Senior level,Full-time,Engineering,IT Services and IT Consulting
Data Engineer,Amazon,"Bellevue, WA",2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development
Data Engineer for Data Platform,"HireIO, Inc.","Seattle, WA",6 months ago,,"$115,000.00/yr - $150,000.00/yr",Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education
"Data Engineer, Analytics",Meta,"Redmond, WA",1 day ago,,"$46,000.63/yr - $134,000.00/yr",Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
Data Engineer,Amazon,"Seattle, WA",2 weeks ago,176 applicants,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development
Data Engineer,Microsoft,"Redmond, WA",1 week ago,,"$98,300.00/yr - $208,800.00/yr",Not Applicable,Full-time,Information Technology,Software Development
"Data Engineer, Amazon Smart Vehicles",Amazon,"Seattle, WA",1 week ago,189 applicants,"$91,200.00/yr - $185,000.00/yr",Not Applicable,Full-time,"Quality Assurance, Information Technology, and Engineering",Software Development
Data Engineer II,Chewy,"Bellevue, WA",1 day ago,,"$115,500.00/yr - $183,500.00/yr",Entry level,Full-time,Information Technology,Retail
Data Engineer,SynergisticIT,"Redmond, WA",3 months ago,38 applicants,"$98,300.00/yr - $208,800.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Engineer,Fig - Food Is Good,"Seattle, WA",6 months ago,185 applicants,"$115,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Wellness and Fitness Services
Data Engineer (L5) - Product (Device),Netflix,"San Francisco, United States",1 week ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers
Data Visualization Engineer (L4) - Content & Studio,Netflix,"San Francisco, United States",2 weeks ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers
Data Engineer (L5) - Product,Netflix,"Seattle, United States",3 days ago,,"$170,000.00/yr - $720,000.00/yr",Not Applicable,Full-time,Other,Entertainment Providers
Data Engineer (Entry Level),Ericsson,"Plano, TX",2 weeks ago,,"$90,000.00/yr - $180,000.00/yr",Not Applicable,Full-time,Other,Telecommunications
Entry Data Engineer,VideoAmp,"Los Angeles, CA",2 weeks ago,,"$90,000.00/yr - $115,000.00/yr",Entry level,Full-time,Information Technology,Advertising Services
Data Engineer,Walgreens,"Deerfield, IL",1 week ago,,"$80,000.00/yr - $120,500.00/yr",Not Applicable,Full-time,Information Technology,Retail Pharmacies
"Data Engineer, Finance",Notion,"New York, NY",2 days ago,,"$170,000.00/yr - $235,000.00/yr",Not Applicable,Full-time,Information Technology,Software Development
Data Engineer I/II,Atomica,"Goleta, CA",3 weeks ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,Semiconductor Manufacturing
Data Engineer II - Fandango,Fandango,"Orlando, FL",5 days ago,,,Associate,Full-time,Engineering,"Broadcast Media Production and Distribution, Entertainment Providers, and Media Production"
Entry Data Engineer,VideoAmp,"Los Angeles, CA",2 weeks ago,,"$80,000.00/yr - $110,000.00/yr",Entry level,Full-time,Information Technology,Advertising Services
Data Engineer,Brex,"San Francisco, CA",4 days ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,Financial Services
"Data Engineer, Finance",Notion,"New York, NY",2 days ago,,,Not Applicable,Full-time,Information Technology,Software Development
Data Engineer,Umanist Staffing,"Chicago, IL",4 days ago,,$50.00/hr - $65.00/hr,Associate,Contract,Information Technology,Business Consulting and Services
"Data Engineer - Cloud, Sql",Acunor,"Chicago, IL",4 days ago,108 applicants,"$90,000.00/yr - $120,500.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Junior Data Analyst/Engineer,SynergisticIT,"Chicago, IL",2 weeks ago,47 applicants,"$70,000.00/yr - $120,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering
Data Engineer,LiveMarket,"Chicago, IL",3 months ago,,"$90,000.00/yr - $130,500.00/yr",Entry level,Contract,Information Technology,Software Development
"Data Engineer, Global Sales Activation, Go-To-Market",Google,"Chicago, IL",2 weeks ago,50 applicants,"$118,000.00/yr - $174,000.00/yr",Not Applicable,Full-time,"Project Management, Consulting, and Engineering","Information Services and Technology, Information and Internet"
Data Engineer,Green Thumb Industries (GTI),"Chicago, IL",4 days ago,,"$70,000.00/yr - $120,500.00/yr",Entry level,Full-time,Information Technology,Alternative Medicine
Data Engineer,PepsiCo,"Chicago, IL",1 week ago,,"$100,000.00/yr - $167,500.00/yr",Mid-Senior level,Full-time,Information Technology,Manufacturing and Food and Beverage Services
"Data Engineer I, Professional Services, Google Cloud",Google,"Chicago, IL",2 weeks ago,,"$118,000.00/yr - $174,000.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
Python Developer / Data Engineer,TransMarket Group,"Chicago, IL",4 months ago,,"$100,000.00/yr - $150,500.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Engineer,"Donato Technologies, Inc.","Chicago, IL",3 months ago,,"$85,000.00/yr - $130,500.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,CGS Federal (Contact Government Services),"Chicago, IL",2 months ago,,"$112,597.33/yr - $152,810.66/yr",Not Applicable,Full-time,Information Technology,Government Relations Services
Senior Data Engineer (Cloud),Forbes Technical Consulting,Greater Chicago Area,6 days ago,,,Mid-Senior level,Contract,"Engineering, Information Technology, and Consulting","Technology, Information and Media and Hospitality"
Data Engineer - Chicago,Yeah! Global,"Chicago, IL",1 week ago,41 applicants,"$70,000.00/yr - $120,500.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,SSi People,"Washington County, OR",2 days ago,94 applicants,$66.00/hr - $66.00/hr,Mid-Senior level,Contract,Engineering,Retail Apparel and Fashion
Senior Data Engineer,OmniData,"Portland, OR",3 weeks ago,90 applicants,,Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Data Engineer with DBT,PSRTEK,"Portland, OR",2 months ago,85 applicants,,Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,DataAnnotation,"Portland, Oregon Metropolitan Area",1 week ago,,,Not Applicable,Contract,"Engineering, Research, and Analyst","Software Development, Computer and Network Security, and Engineering Services"
Data Engineer,OnPoint Community Credit Union,"Portland, OR",1 week ago,,,Entry level,Full-time,Information Technology,Banking
AWS Big Data Engineer,ISmile Technologies,"Portland, OR",2 months ago,,,Mid-Senior level,Contract,Engineering and Information Technology,Hospitals and Health Care
Entry Level Data Analyst (REMOTE),SynergisticIT,"Portland, OR",1 week ago,97 applicants,,Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Engineer,Coinbase,"Portland, OR",2 weeks ago,87 applicants,"$147,900.00/yr - $174,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Junior Data Analyst/Engineer/Scientist - Remote,SynergisticIT,"Portland, OR",1 month ago,,,Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Engineer,Ledgent Technology,"Portland, OR",2 weeks ago,,"$110,000.00/yr - $125,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Data Engineer 4,"Integrated Resources, Inc ( IRI )","Beaverton, OR",2 days ago,,,Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Data Engineer,Brex,"New York, NY",4 days ago,,"$120,800.00/yr - $151,000.00/yr",Entry level,Full-time,Information Technology,Financial Services
Data Engineer,Steneral Consulting,"Raleigh, NC",6 days ago,,"$85,000.00/yr - $150,204.96/yr",Mid-Senior level,Contract,Information Technology,Software Development
Data Engineer,Brex,"New York, NY",4 days ago,,,Entry level,Full-time,Information Technology,Financial Services
"Data Engineer I, Professional Services, Google Cloud",Google,"Austin, TX",2 weeks ago,,"$120,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,Information Technology and Engineering,"Information Services and Technology, Information and Internet"
Data Engineers,Accroid Inc,"Austin, TX",3 months ago,135 applicants,"$110,900.00/yr - $145,600.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Data/Analytics Engineer,Vectra AI,"Austin, TX",1 week ago,,"$130,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Information Technology,"Technology, Information and Internet"
Sr. Data Engineer,YETI,"Austin, TX",3 days ago,,,Mid-Senior level,Full-time,Information Technology,Manufacturing
Data Engineer,Cloudflare,"Austin, TX",6 days ago,,"$100,000.00/yr - $150,000.00/yr",Associate,Full-time,Information Technology,"IT Services and IT Consulting, Technology, Information and Internet, and Computer and Network Security"
Data Engineer,Nomi Health,"Austin, TX",2 months ago,,"$110,900.00/yr - $145,600.00/yr",Not Applicable,Full-time,Information Technology,Hospitals and Health Care
Data Engineer,Augment Jobs,"Austin, TX",2 months ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Information Technology,Financial Services and Venture Capital and Private Equity Principals
Junior Data Analyst/Engineer,SynergisticIT,"Austin, TX",1 month ago,95 applicants,,Entry level,Contract,Information Technology,IT Services and IT Consulting
Data Engineer,Amazon,"Austin, TX",2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development
Python Data Engineer + GCP,Zortech Solutions,"Austin, TX",1 month ago,,"$130,000.00/yr - $150,000.00/yr",Entry level,Full-time,Information Technology,Human Resources Services
Data Engineer,Palisades Group,"Austin, TX",2 weeks ago,,"$110,000.00/yr - $150,000.00/yr",Not Applicable,Full-time,Information Technology,Investment Management
Data Engineer,Accroid Inc,"Austin, TX",2 months ago,,"$120,900.00/yr - $145,600.00/yr",Mid-Senior level,Contract,Information Technology,IT Services and IT Consulting
Software Engineer - New College Graduate,Vectra AI,"Austin, TX",1 month ago,,"$130,000.00/yr - $150,000.00/yr",Entry level,Full-time,Engineering and Information Technology,"Technology, Information and Internet"
Data Engineer,Millennium Health,"San Diego, CA",1 month ago,111 applicants,"$90,000.00/yr - $105,000.00/yr",Entry level,Full-time,Information Technology,Non-profit Organizations and Primary and Secondary Education
Data Engineer,McCarthy & Holthus LLP,"San Diego, CA",1 month ago,69 applicants,"$130,000.00/yr - $160,000.00/yr",Associate,Full-time,Strategy/Planning and Information Technology,Law Practice
"Data Engineer, ETL, Senior",Zapata Technology,"San Diego, CA",2 months ago,34 applicants,"$125,000.00/yr - $150,000.00/yr",Mid-Senior level,Full-time,Information Technology,Software Development
Data Engineer,"XiFin, Inc.",San Diego Metropolitan Area,2 weeks ago,,"$67,000.00/yr - $75,000.00/yr",Entry level,Full-time,Information Technology,Business Intelligence Platforms and Internet Publishing
"Business Intelligence Engineer, Amazon",Amazon Business,"Palo Alto, CA",5 days ago,177 applicants,"$89,600.00/yr - $185,000.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Retail
Applied Machine Learning Engineer - Causal Inference Recommendation,DoorDash,"Sunnyvale, CA",1 day ago,99 applicants,"$95,000.00/yr - $135,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
Machine Learning Engineer,Atlassian,"Mountain View, CA",5 days ago,185 applicants,"$156,000.00/yr - $231,100.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Staff Software Engineer - Data Applications,LinkedIn,"Sunnyvale, CA",4 days ago,107 applicants,"$147,000.00/yr - $240,000.00/yr",Not Applicable,Full-time,Engineering,"Technology, Information and Internet and IT Services and IT Consulting"
Machine Learning Engineer - Delivery Excellence,DoorDash,"Sunnyvale, CA",1 day ago,116 applicants,"$95,000.00/yr - $135,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Software Development
Senior Data Engineer,Discord,"San Francisco, CA",2 days ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Information Technology,Software Development
Data Analytics Engineer,KYYBA Inc,"San Francisco, CA",1 month ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Data Engineer,Replicate,"San Francisco, CA",1 week ago,,"$183,000.00/yr - $201,500.00/yr",Mid-Senior level,Full-time,Engineering,"Technology, Information and Media"
"Data Engineer, Marketing & Sales",Notion,"San Francisco, CA",2 days ago,,"$130,000.00/yr - $160,000.00/yr",Not Applicable,Full-time,Information Technology,Software Development
Data Analyst/Engineer - Junior,SynergisticIT,"San Francisco, CA",1 week ago,28 applicants,"$160,000.00/yr - $180,000.00/yr",Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Civil Engineering
Data Engineer,Arc,"San Francisco, CA",1 year ago,,"$130,000.00/yr - $160,000.00/yr",Entry level,Full-time,Engineering and Information Technology,Financial Services
Junior/Entry Data Engineer (Remote),SynergisticIT,"San Francisco, CA",2 weeks ago,,"$65,000.00/yr - $85,000.00/yr",Entry level,Contract,Information Technology,IT Services and IT Consulting
"Data Engineer, Finance",Notion,"San Francisco, CA",1 day ago,,"$170,000.00/yr - $235,000.00/yr",Not Applicable,Full-time,Information Technology,Software Development
Data Analytics Engineer,Procter & Gamble,"Boston, MA",1 week ago,,"$85,000.00/yr - $115,000.00/yr",Not Applicable,Full-time,"Production, Manufacturing, and Engineering",Manufacturing
Data Engineer,Bristol Myers Squibb,"Boston, MA",3 days ago,160 applicants,"$80,000.00/yr - $165,000.00/yr",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing
"Data Engineer - Hybrid - (Python, SQL, R programming)",Manulife,"Boston, MA",2 weeks ago,,"$85,750.00/yr - $159,250.00/yr",Entry level,Full-time,Information Technology,Insurance
Data Engineer,Amazon,"Boston, MA",2 weeks ago,,"$118,900.00/yr - $205,600.00/yr",Not Applicable,Full-time,"Strategy/Planning, Analyst, and Information Technology",Software Development
Data Engineer,Coinbase,"Boston, MA",2 weeks ago,150 applicants,"$80,000.00/yr - $165,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Data Science Engineer,Massachusetts Institute of Technology,"Cambridge, MA",3 days ago,71 applicants,"$70,000.00/yr - $125,000.00/yr",Entry level,Full-time,Information Technology,Higher Education
Data Engineer,Syntricate Technologies,"Quincy, MA",3 weeks ago,135 applicants,"$77,000.00/yr - $115,000.00/yr",Entry level,Full-time,Information Technology,Civil Engineering
Data Engineer,PA Consulting,"Boston, MA",2 days ago,,"$90,000.00/yr - $125,000.00/yr",Mid-Senior level,Full-time,Consulting,Business Consulting and Services
Data Engineer,Lazarus,"Boston, MA",1 month ago,,"$79,000.08/yr - $145,204.96/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Data Engineer,Network Coverage,"Danvers, MA",2 months ago,52 applicants,"$80,000.00/yr - $120,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,Commonwealth of Massachusetts,"Boston, MA",1 month ago,,"$77,222.08/yr - $115,204.96/yr",Entry level,Full-time,Information Technology,Government Administration
"Data Engineer - Hybrid - (Python, SQL, R programming)",Manulife,"Boston, MA",2 weeks ago,,"$81,000.08/yr - $155,204.96/yr",Entry level,Full-time,Information Technology,Insurance
Data Engineer,Lazarus,"Boston, MA",1 month ago,,"$100,000.00/yr - $130,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
Data / BI Engineer,Steneral Consulting,"Boston, MA",2 months ago,,"$79,000.08/yr - $145,204.96/yr",Mid-Senior level,Contract,Business Development and Sales,Software Development
Data Engineer - Remote,Rancho BioSciences,"Boston, MA",1 week ago,,"$90,000.00/yr - $130,204.96/yr",Entry level,Full-time,Information Technology,Research Services
Senior Data Engineer,Softtek,"Boston, MA",1 week ago,,"$95,000.00/yr - $125,204.96/yr",Mid-Senior level,Full-time,Other,IT Services and IT Consulting
Sr Data/ML Engineer,SS&C Technologies,"Waltham, MA",3 weeks ago,175 applicants,"$90,000.00/yr - $125,000.00/yr",Mid-Senior level,Full-time,Engineering and Information Technology,Software Development
Data Engineer,Realtime Recruitment,"Boston, MA",2 days ago,,"$81,000.08/yr - $155,204.96/yr",Mid-Senior level,Contract,Information Technology,Data Infrastructure and Analytics
Data Engineer,Rancho BioSciences,"Boston, MA",1 week ago,,"$85,000.00/yr - $140,204.96/yr",Entry level,Full-time,Information Technology,Research Services
Data Engineer,Addgene,"Watertown, MA",1 week ago,,"$110,000.00/yr - $125,000.00/yr",Mid-Senior level,Full-time,Information Technology,Internet Publishing
Data Engineer,Brooksource,"Quincy, MA",6 days ago,,$60.00/hr - $70.00/hr,Mid-Senior level,Contract,Analyst and Information Technology,IT Services and IT Consulting
Data Engineer,Umanist Staffing,"Philadelphia, PA",4 days ago,,$50.00/hr - $65.00/hr,Associate,Contract,Information Technology,Business Consulting and Services
Data Engineer,TETRAHED INC,"Philadelphia, PA",1 month ago,197 applicants,,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,Mondo,"Philadelphia, PA",1 year ago,,$55.00/hr - $63.00/hr,Not Applicable,Contract,Information Technology,Staffing and Recruiting
data engineer,SkilzMatrix Digital,"Malvern, PA",3 months ago,,"$70,000.00/yr - $120,000.00/yr",Entry level,Full-time,Information Technology,IT Services and IT Consulting
Data Engineer,Wise Skulls,"Philadelphia, PA",2 months ago,,,Entry level,Full-time,Information Technology,Staffing and Recruiting
Data Engineer,"GEI Consultants, Inc.","Mount Laurel, NJ",6 months ago,,$34.00/hr - $72.00/hr,Entry level,Full-time,Information Technology,Environmental Services and Renewable Energy Semiconductor Manufacturing
Sr. Data Engineer,CGS Federal (Contact Government Services),"Philadelphia, PA",5 days ago,,"$144,768.00/yr - $209,109.33/yr",Associate,Full-time,Information Technology,"Transportation, Logistics, Supply Chain and Storage"
Senior Data Engineer,Carlisle Construction Materials,"Kimberton, PA",2 weeks ago,,"$77,000.00/yr - $139,200.00/yr",Mid-Senior level,Full-time,Information Technology,Wholesale Building Materials
Data Engineer,CGS Federal (Contact Government Services),"Philadelphia, PA",2 months ago,,"$112,597.33/yr - $152,810.66/yr",Not Applicable,Full-time,Information Technology,Government Relations Services
Data Engineer,Home Solutions,"Raleigh, NC",1 month ago,,"$115,000.00/yr - $135,000.00/yr",Entry level,Full-time,Information Technology,"Technology, Information and Internet"
